transaction_id,merchant_id,order_id,customer_id,payment_method,currency,gross_amount,gateway_fee,interchange_fee,net_amount,transaction_status,auth_code,arn,payment_created_at,authorized_at,captured_at,settlement_batch_id,settlement_status,failure_reason
txn_demo_01,mer_retail_0001,ord_clean_1001,cus_4011,card_visa_credit,USD,200.0,6.1,3.7,193.9,CAPTURED,AUTH1001A,24445066245019010001001,2026-09-01T10:14:00Z,2026-09-01T10:14:00Z,2026-09-01T10:14:22Z,bat_demo_01,SETTLED,
txn_demo_02,mer_retail_0001,ord_clean_1002,cus_4012,card_mastercard_debit,USD,120.0,3.78,1.9,116.22,CAPTURED,AUTH1002B,24445066245019010001002,2026-09-01T14:30:10Z,2026-09-01T14:30:10Z,2026-09-01T14:30:45Z,bat_demo_01,SETTLED,
txn_demo_03,mer_gig_0002,ord_gig_2001,cus_5021,apple_pay_visa,USD,85.0,2.85,1.62,82.15,CAPTURED,AUTH2001G,24445066245019020002001,2026-09-01T16:05:00Z,2026-09-01T16:05:00Z,2026-09-01T16:05:12Z,bat_demo_02,SETTLED,
txn_demo_04,mer_saas_0003,ord_saas_3001,cus_6031,ach_debit_direct,USD,4500.0,36.5,5.0,4463.5,CAPTURED,AUTH3001S,24445066245019030003001,2026-09-02T09:20:00Z,2026-09-02T09:20:00Z,2026-09-02T09:20:00Z,bat_demo_03,SETTLED,
txn_demo_05,mer_retail_0001,ord_clean_1001,cus_4011,card_visa_credit,USD,-75.0,0.0,-1.15,-75.0,REFUNDED,REF4001R,24445066245019040004001,2026-09-02T11:15:00Z,2026-09-02T11:15:00Z,2026-09-02T11:15:01Z,bat_demo_04,SETTLED_REFUND,
txn_demo_06,mer_gaming_0004,ord_game_4001,cus_7041,card_amex,USD,220.0,32.56,5.28,187.44,DISPUTED_CHARGEBACK,AUTH5001D,24445066245019050005001,2026-09-02T13:40:00Z,2026-09-02T13:40:00Z,2026-09-02T13:40:30Z,bat_demo_05,DISPUTE_HOLD,Chargeback filed: Reason Code 10.4 Card Absent Fraud ($25 penalty assessed)
txn_demo_07,mer_chaotic_0005,TEMP_ORD#*&@821,cus_guest_unverified,card_visa_debit,USD,145.0,0.1,0.0,-0.1,DECLINED,DEC_51,DECLINED_NO_ARN_99812,2026-09-02T15:10:00Z,2026-09-02T15:10:00Z,,,UNBATCHABLE_DECLINED,51: DECLINED_INSUFFICIENT_FUNDS
txn_demo_08,mer_retail_0001,ord_hotel_8001,cus_4018,card_mastercard_credit,USD,500.0,0.0,0.0,0.0,EXPIRED_UNRESOLVED,AUTH_VOID_6621,ARN_PREAUTH_RELEASED_33109,2026-09-02T17:00:00Z,2026-09-02T17:00:00Z,,,UNBATCHABLE_VOID,Merchant failed to capture within 7 days; authorization expired
txn_demo_09,mer_chaotic_0005,ERR_RETRY_9841,cus_9051,card_visa_credit,USD,890.0,34.17,16.02,855.83,CAPTURED,AUTH7001C,24445066245019070007001,2026-09-03T08:15:00Z,2026-09-03T08:15:00Z,2026-09-03T08:15:20Z,bat_demo_07,BATCHED,
txn_demo_10,mer_retail_0001,ord_late_9001,cus_4020,card_visa_credit,USD,310.0,9.29,5.68,300.71,CAPTURED,AUTH8001P,24445066245019080008001,2026-09-03T21:00:10Z,2026-09-03T21:00:10Z,2026-09-03T21:00:15Z,,PENDING_BATCH_POST_CUTOFF,Captured after daily cutoff window (21:00:15Z)
