payment_id,merchant_id,order_id,entity,amount_inr,currency,status,method,method_subtype,upi_rrn_or_arn,vpa,bank_code,wallet_provider,sub_paisa_mdr_fee,base_fee_inr,gst_tax_18pct_inr,net_amount_inr,error_code,error_description,created_at,captured_at,settlement_id,settlement_status
pay_0000000165,acc_quic_00922,order_qui_859695,payment,-604.76,INR,refunded,upi,upi_intent,26062778820,user419@okaxis,,,0.0,0.0,0.0,-604.76,,,2026-03-03T11:51:07Z,2026-03-03T11:51:09Z,setl_20260629_d2c__0012793,settled_refund
pay_0000000212,acc_d2c__00415,order_d2c_947884,payment,1257.86,INR,captured,card,mastercard_credit,24445062692864559131101,,PUNB,,23.8993,23.9,4.3,1229.66,,,2026-05-19T22:35:50Z,2026-05-19T22:35:59Z,setl_20260502_edte_0044619,settled
pay_0000000316,acc_b2b__00325,order_b2b_581993,payment,24736.14,INR,captured,upi,upi_intent,26088453937,user516@ibl,,,371.0421,371.04,66.79,24298.31,,,2026-03-29T12:33:09Z,2026-03-29T12:33:44Z,setl_20260814_edte_0030191,settled
pay_0000000455,acc_d2c__00669,order_d2c_207265,payment,244.07,INR,captured,upi,upi_intent,26225111163,user449@ybl,,,4.6373,4.64,0.84,238.59,,,2026-08-13T03:50:06Z,2026-08-13T03:50:12Z,setl_20260802_gami_0002059,settled
pay_0000000590,acc_gami_00360,order_gam_106766,payment,870.88,INR,captured,card,visa_credit,24445065036664582166730,,SBIN,,26.1264,26.13,4.7,840.05,,,2026-08-09T10:37:19Z,2026-08-09T10:37:57Z,setl_20260702_kira_0041487,settled
pay_0000000615,acc_quic_00478,order_qui_855276,payment,102.61,INR,captured,upi,upi_intent,26070450829,user358@ybl,,,1.2313,1.23,0.22,101.16,,,2026-03-11T06:22:59Z,2026-03-11T06:23:28Z,setl_20260721_edte_0045258,settled
pay_0000000733,acc_edte_00625,order_edt_184899,payment,10434.39,INR,captured,card,rupay_debit,24445063313683618390304,,ICIC,,229.5566,229.56,41.32,10163.51,,,2026-07-21T12:32:49Z,2026-07-21T12:32:56Z,setl_20260527_quic_0015491,settled
pay_0000000891,acc_d2c__00319,order_d2c_434182,payment,1967.8,INR,captured,upi,upi_intent,26071935225,user152@paytm,,,37.3882,37.39,6.73,1923.68,,,2026-03-12T04:58:45Z,2026-03-12T04:59:23Z,setl_20260520_d2c__0038695,settled
pay_0000000938,acc_quic_00164,order_qui_269287,payment,-584.09,INR,refunded,upi,upi_collect,26136335866,user177@ibl,,,0.0,0.0,0.0,-584.09,,,2026-05-16T11:24:24Z,2026-05-16T11:24:26Z,setl_20260726_edte_0043413,settled_refund
pay_0000001017,acc_b2b__00025,order_b2b_430170,payment,36530.18,INR,captured,emi,cardless_emi_simpl,EMI_AGR_32578891,,,,547.9527,547.95,98.63,35883.6,,,2026-07-28T16:55:33Z,2026-07-28T16:56:07Z,setl_20260401_kira_0002931,settled
pay_0000001149,acc_kira_00996,order_kir_396079,payment,2270.43,INR,captured,upi,upi_intent,26092237587,user718@ybl,,,18.1634,18.16,3.27,2249.0,,,2026-04-02T22:23:33Z,2026-04-02T22:24:13Z,setl_20260817_quic_0016804,settled
pay_0000001231,acc_quic_00357,order_qui_691187,payment,114.09,INR,captured,upi,upi_intent,26061532546,user260@okaxis,,,1.3691,1.37,0.25,112.47,,,2026-03-02T09:27:48Z,2026-03-02T09:27:52Z,setl_20260731_kira_0006115,settled
