ledger_id,merchant_id,entry_sequence,timestamp,lifecycle_stage,event_type,payment_id,settlement_id,account_debited,account_credited,amount_inr,currency,balance_pending_settlement,balance_available_for_payout,balance_in_transit,balance_settled_cumulative,description
rled_0000001,acc_kira_00956,1,2026-06-29T00:25:50Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00016977,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,4087.78,INR,11770.08,13280.79,0.0,118925.74,Gross customer payment captured via UPI/RuPay for pay_00016977
rled_0000002,acc_edte_00711,1,2026-05-14T23:51:54Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00012869,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,59.38,INR,5818.32,23607.14,0.0,405439.48,MDR processing fee and 18% GST assessed on pay_00012869
rled_0000003,acc_b2b__00180,1,2026-07-11T00:08:37Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00044451,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,58.79,INR,2802.97,19476.65,0.0,361201.35,MDR processing fee and 18% GST assessed on pay_00044451
rled_0000004,acc_edte_00986,1,2026-03-16T18:39:18Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00040108,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,95.62,INR,11315.02,11516.16,0.0,482555.25,MDR processing fee and 18% GST assessed on pay_00040108
rled_0000005,acc_kira_00428,1,2026-04-01T14:54:01Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00029555,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,4108.3,INR,6380.73,20858.49,0.0,223904.06,Gross customer payment captured via UPI/RuPay for pay_00029555
rled_0000006,acc_quic_00248,1,2026-03-19T15:54:43Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00005031,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,63.14,INR,9931.9,22477.4,0.0,230247.7,MDR processing fee and 18% GST assessed on pay_00005031
rled_0000007,acc_quic_00200,1,2026-05-09T19:05:34Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260509_quic_0000083,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,33456.66,INR,2758.44,0.0,33456.66,72880.84,Nodal transfer dispatched via NEFT/RTGS to ICICI Bank
rled_0000008,acc_d2c__00862,1,2026-08-22T21:15:54Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260822_d2c__0015110,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,3323.74,INR,3015.93,1244.49,3323.74,246255.57,Nodal transfer dispatched via NEFT/RTGS to ICICI Bank
rled_0000009,acc_d2c__00666,1,2026-06-06T19:37:08Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260606_d2c__0018210,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,6813.88,INR,1941.71,10581.03,0.0,320069.54,Cutoff batch setl_20260606_d2c__0018210 cleared funds to available merchant balance
rled_0000010,acc_d2c__00989,1,2026-06-12T21:48:34Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00010883,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,84.88,INR,12720.41,2309.79,0.0,142380.62,MDR processing fee and 18% GST assessed on pay_00010883
