settlement_id,merchant_id,nodal_account_id,cutoff_timestamp,transaction_count,gross_amount_inr,total_fee_inr,total_gst_inr,total_refunds_inr,sub_paisa_breakage_inr,net_settlement_amount_inr,currency,settlement_cycle,is_holiday_rollover,clearing_rail,utr_number,beneficiary_bank_name,beneficiary_ifsc,beneficiary_account,payout_status,bank_credit_timestamp,reconciliation_status,failure_reason
setl_demo_01,acc_d2c_0001,nodal_icici_mum_01,2026-09-01T21:00:00Z,2,3699.0,47.48,8.55,0.0,0.001,3642.97,INR,T+2,False,NEFT,ICICR52026090310829104,HDFC Bank,HDFC0000060,*******4412,processed,2026-09-03T11:30:12Z,reconciled,
setl_demo_02,acc_saas_0002,nodal_hdfc_blr_02,2026-09-01T21:00:00Z,1,85000.0,1275.0,229.5,0.0,0.0,83495.5,INR,T+1,False,RTGS,HDFCR52026090299182301,Silicon Valley Bank / ICICI,ICIC0000104,*******1203,processed,2026-09-02T12:15:00Z,reconciled,
setl_demo_03,acc_quic_0003,nodal_icici_mum_01,2026-09-01T17:15:00Z,1,349.0,4.19,0.75,0.0,-0.002,344.06,INR,T+0_INSTANT,False,UPI_PAYOUT,UPI2026090188921048,Axis Bank,UTIB0000015,*******8890,processed,2026-09-01T17:15:22Z,reconciled,
setl_demo_04,acc_d2c_0001,nodal_icici_mum_01,2026-09-02T21:00:00Z,1,0.0,0.0,0.0,450.0,0.0,-450.0,INR,T+2,False,NEFT,ICICR52026090410829871,HDFC Bank,HDFC0000060,*******4412,processed,2026-09-04T11:45:00Z,reconciled,
setl_demo_05,acc_gami_0004,nodal_yesb_mum_03,2026-09-02T21:00:00Z,1,2800.0,584.0,105.12,0.0,0.0,2110.88,INR,T+3,False,NEFT,YESBR52026090510830119,ICICI Bank,ICIC0000104,*******9810,processed,2026-09-05T14:30:00Z,reconciled,
setl_demo_06,acc_d2c_0001,nodal_icici_mum_01,2026-09-11T21:00:00Z,5,18450.0,350.55,63.1,0.0,-0.0045,18036.35,INR,T+2,True,NEFT,ICICR52026091510830412,HDFC Bank,HDFC0000060,*******4412,created,,pending_holiday_clearing,
setl_demo_07,acc_chao_0007,nodal_axis_del_04,2026-09-03T21:00:00Z,1,18500.0,351.5,63.27,0.0,0.0,18085.23,INR,T+1,False,NEFT,NODAL_ERR_NAME_MISMATCH,Punjab National Bank,PUNB0001900,*******7714,failed,,nodal_transfer_failed,NODAL_BENEFICIARY_NAME_MISMATCH: Penny-drop name does not match registered trade license
setl_demo_08,acc_chao_0007,nodal_axis_del_04,2026-09-04T21:00:00Z,3,2500.0,47.5,8.55,9200.0,0.0,-6756.05,INR,T+1,False,NACH_E_MANDATE,NACH_DEBIT_TRC_992140,Punjab National Bank,PUNB0001900,*******7714,negative_balance_clawback,2026-09-05T18:00:00Z,reconciled_debit_pull,"Customer returns exceeded sales; e-NACH mandate pulled ₹6,756.05"
setl_demo_09,acc_saas_0002,nodal_hdfc_blr_02,2026-09-04T21:00:00Z,4,34000.0,510.0,91.8,0.0,0.0034,33398.2,INR,T+1,False,NEFT,NEFT_IN_FLIGHT_BATCH_09,ICICI Bank,ICIC0000104,*******1203,created,,pending_bank_ack,
setl_demo_10,acc_d2c_0001,nodal_icici_mum_01,2026-09-05T21:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,INR,T+2,False,NONE,ZERO_BALANCE,HDFC Bank,HDFC0000060,*******4412,not_applicable,,reconciled_zero_balance,Zero settlement volume during cutoff cycle
